lon,lat
-8.831888358334514066e+01,4.191975162257054421e+01
-8.831862585274230071e+01,4.191948935103634710e+01
-8.831792143010270024e+01,4.191866723723454413e+01
-8.831774192773436027e+01,4.191849675053222057e+01
-8.831754006009815328e+01,4.191834094978616321e+01
-8.831730868774626231e+01,4.191821033775072181e+01
-8.831717853071471325e+01,4.191816251121586134e+01
-8.831703804461001539e+01,4.191813605028163892e+01
-8.831689351998402060e+01,4.191813905024839926e+01
-8.831684534705686929e+01,4.191821039011573191e+01
-8.831684869152239514e+01,4.191831866889098279e+01
-8.831691626442577103e+01,4.191852925658923823e+01
-8.831717567261348734e+01,4.191903574469896654e+01
-8.831795896089343501e+01,4.192031865628464971e+01
-8.831809200998887377e+01,4.192051147367990183e+01
-8.831824642103376277e+01,4.192069509658175264e+01
-8.831843300839716449e+01,4.192086106897480846e+01
-8.831874404897918396e+01,4.192108861736210912e+01
-8.831905536730498341e+01,4.192145446321893587e+01
-8.831911966720042528e+01,4.192155165936851802e+01
-8.831924018099216767e+01,4.192186401779701299e+01
-8.831929588167756151e+01,4.192196415544126609e+01
-8.831964685673675319e+01,4.192243881471268452e+01
-8.831976740782988600e+01,4.192263610218175529e+01
-8.832012056833993086e+01,4.192334809144823993e+01
-8.832025564164646880e+01,4.192365740993430023e+01
-8.832032569761162222e+01,4.192386790912791383e+01
-8.832037359907245389e+01,4.192408181750105456e+01
-8.832039409788210094e+01,4.192429813075374767e+01
-8.832035846146023061e+01,4.192473080263809493e+01
-8.832023206158750384e+01,4.192526474106882262e+01
-8.832015964637736261e+01,4.192547479220508677e+01
-8.832006304813819497e+01,4.192567929331776355e+01
-8.831985830089308820e+01,4.192596593256349280e+01
-8.831968187154981820e+01,4.192613815166174618e+01
-8.831928776244451740e+01,4.192645684913147619e+01
-8.831906077735216343e+01,4.192673366320450867e+01
-8.831874249123571019e+01,4.192695520772733175e+01
-8.831846290373718489e+01,4.192720455702119153e+01
-8.831806231222097381e+01,4.192765649875276068e+01
-8.831787978278144635e+01,4.192795158493804308e+01
-8.831777745232196253e+01,4.192826726985171604e+01
-8.831775993108198008e+01,4.192859197888669343e+01
-8.831782158451734688e+01,4.192891365255637481e+01
-8.831802065558892423e+01,4.192943517299386258e+01
-8.831810499583858132e+01,4.192975418662524589e+01
-8.831813378777501100e+01,4.193018717826545583e+01
-8.831808000149194982e+01,4.193072774599684038e+01
-8.831802560684214143e+01,4.193094076804526082e+01
-8.831787115484644346e+01,4.193135897758621411e+01
-8.831769648704580788e+01,4.193199648470770313e+01
-8.831761054256709542e+01,4.193220364001296474e+01
-8.831729857527186311e+01,4.193281099969412651e+01
-8.831724431399686637e+01,4.193302391232927562e+01
-8.831717502759904903e+01,4.193356371668503613e+01
-8.831711865420884067e+01,4.193377643405667499e+01
-8.831669543518286503e+01,4.193469947704401335e+01
-8.831630577872074639e+01,4.193596789992983531e+01
-8.831616705615428486e+01,4.193627624385286623e+01
-8.831604380609536520e+01,4.193647257017693164e+01
-8.831555617159264671e+01,4.193701137327399664e+01
-8.831513641721849694e+01,4.193770256634163474e+01
-8.831500161192556675e+01,4.193789471382047651e+01
-8.831438431326613170e+01,4.193862982096320025e+01
-8.831416792968303753e+01,4.193891220481358317e+01
-8.831399554286524278e+01,4.193921076427262307e+01
-8.831387391276993526e+01,4.193952321129559380e+01
-8.831376851243163628e+01,4.193972516135349338e+01
-8.831338370167290464e+01,4.194018468364107832e+01
-8.831317936394434298e+01,4.194047194468147666e+01
-8.831264304157048173e+01,4.194147969597581493e+01
-8.831216185197321522e+01,4.194214770821011484e+01
-8.831204920100591949e+01,4.194246144631129170e+01
-8.831201826058082816e+01,4.194267705203579766e+01
-8.831201594828276313e+01,4.194289392053990895e+01
-8.831207450996436137e+01,4.194332533767919813e+01
-8.831218417858541159e+01,4.194375136909530966e+01
-8.831238881311134037e+01,4.194438393803380905e+01
-8.831264572624084508e+01,4.194500569934192669e+01
